127.0.0.1 - - [25/Aug/2018:00:51:30 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:05 +0900] "GET /compnNmeCheck.do?memCompnNme=SY%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:05 +0900] "POST /insertCompn.do HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:05 +0900] "POST /nmeCardInsertForm.do HTTP/1.1" 200 34979
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:05 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:06 +0900] "POST /nmeCardInsertForm.do HTTP/1.1" 200 34979
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:06 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:37 +0900] "POST /insertNmeCard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:37 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 19912
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:38 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:44 +0900] "POST /nmeCardSelectForm.do HTTP/1.1" 200 19912
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:44 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:45 +0900] "POST /nmeCardSelectForm.do HTTP/1.1" 200 19912
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:16:45 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:02 +0900] "GET /groupListForm.do HTTP/1.1" 200 18739
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:02 +0900] "GET /resources/dist/js/ajax.js HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:02 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:06 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 19912
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:06 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:41 +0900] "GET /logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:41 +0900] "GET /loginForm.do HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:47 +0900] "POST /login.do HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:50 +0900] "GET /memInsertForm.do HTTP/1.1" 200 18553
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:50 +0900] "GET /resources/dist/css/images/bg.png HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:17:54 +0900] "GET /idCheck.do?memId=alsdk4556 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:28 +0900] "POST /insertMembership.do HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:36 +0900] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:36 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 14420
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:36 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:41 +0900] "POST /nmeCardInsertForm.do HTTP/1.1" 200 34979
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:41 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:18:47 +0900] "GET /depmtInsertPopup.do HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:07 +0900] "POST /depmtNmeCheck.do HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:07 +0900] "POST /insertDepmt.do HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:07 +0900] "POST /nmeCardInsertForm.do HTTP/1.1" 200 35046
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:08 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:09 +0900] "POST /nmeCardInsertForm.do HTTP/1.1" 200 35046
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:09 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:45 +0900] "POST /insertNmeCard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:45 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 15790
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:45 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:54 +0900] "POST /nmeCardSelectViewForm.do HTTP/1.1" 200 31716
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:54 +0900] "GET /nmeCardComnctnSelectForm.do?nmeCardSeq=6 HTTP/1.1" 200 9878
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:54 +0900] "GET /nmeCardHistrSelectForm.do?nmeCardSeq=6 HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:54 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:58 +0900] "GET /sharForm.do HTTP/1.1" 500 8363
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:58 +0900] "GET /resources/dist/js/shar/etc.js HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:19:58 +0900] "GET /resources/dist/js/jquery-2.1.3.min.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:49 +0900] "GET /sharForm.do HTTP/1.1" 200 14925
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:49 +0900] "GET /resources/img/sharMinus.png HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:49 +0900] "GET /resources/img/sharPlus.png HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:53 +0900] "POST /sharPlus.do HTTP/1.1" 200 9981
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:53 +0900] "POST /sharForm.do HTTP/1.1" 200 14973
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:56 +0900] "POST /sharInsert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:56 +0900] "GET /sharForm.do HTTP/1.1" 200 14479
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:23:56 +0900] "POST /groupSessionReset.do HTTP/1.1" 200 9977
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:00 +0900] "GET /logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:00 +0900] "GET /loginForm.do HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:05 +0900] "POST /login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:05 +0900] "GET /nmeCardSelectForm.do HTTP/1.1" 200 15790
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:05 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:08 +0900] "GET /sharNmeCardSelectForm.do HTTP/1.1" 200 14131
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:09 +0900] "POST /newSpeedAjax.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [25/Aug/2018:01:24:11 +0900] "GET /recvNmeCardSelectForm.do HTTP/1.1" 500 11691
